"Bed & Breakfast Ruhr","Nicole André","Lange Str. 47::",53.0966796875,11.0903453827
"Wohnbörse","Dennis Leroy","Elbestr 45",47.8800811768,11.4650173187
"Wigalds Marketing Gmbh","William Holmes","Grebbener Str 7",51.0543823242,6.1384701729
"Wagenbach-bronze.de","Hugo Dubois","Ritterstr 11",50.7891464233,6.0651979446
"300 Mio. Pauschalreisen - Preisvergleich Möglich","Julia Schmidt","Wittstocker Damm 11",53.2458114624,12.3175096512
"Hans Dach Hanseatische Dachtechnik Gmbh","Patrick Rana","Handwerkerstr 10",52.5268936157,13.6889648438
"Speditrans Befrachtungs- Schiffahrt Spedition Gmbh","Gabriele Kishore","",51.4831237793,10.7407264709
"Obere-apotheke","Lucas François","",53.55052948,9.9125003815
"Claus Gerkens","Marie Wilson","Gahlenfeldstr 31",51.4228897095,7.4400000572
"Fredo Härtel","Markus François","Schnackenburgallee 43-45",53.5788421631,9.9180574417
"Prof. Joh. Ludwig Architekt","René Malik","",47.5983886719,11.0644674301
"Andreas Deindl","Alfie Fischer","Bergfeldstr 5-10",53.0479049683,8.8439702988
"Akustik-innenausbau Kirchner Gmbh","Ralf Mercier","",50.2142944336,10.5214481354
"Hs-technik Gmbh","Andreas Williams","Dieselstr. 25",51.5206642151,7.3006238937
"Abele Furniere Gmbh","Ava Roy","",48.0610847473,12.666975975
"Uni-papier Handels Gmbh","Franziska Chande","",49.7329978943,10.5990457535
"Maierhofer Gmbh","Paul Mason","",50.0435066223,10.1565151215
"P. A. Stegemann Inkassobüro","Susanne Chande","",47.7519187927,11.3759803772
"Flow Waste Gmbh","Sarah Fournier","",48.3054466248,12.3858957291
"Avni Style-leder Avni Demir","Max Chande","",48.2923583984,7.7418260574
"C. Terhart","Aanya Malhotra","",49.6812667847,11.4143610001
"Vollrath","Ayaan White","",48.5761566162,12.8650999069
"Restaurantbetrieb Helmut Rogall Gmbh","Raphaël Subram","",48.1837882996,11.2738704681
