"Liana Sa","Birgit Garcia","",46.6164894104,7.6804499626
"Accessoires Rita Schmid","Ines Jackson","",46.3234291077,7.9899840355
"Rohner B.","Raphaël Nath","",47.3674468994,8.7815437317
"Club Concordia","Klaus White","",47.3867912292,8.1787919998
"Sté De Gymnastique Féminine","Inès Walker","",46.8912506104,7.4994878769
"Hans Läuchli Ag","Jennifer Madan","",47.5992889404,9.0502758026
"Raiffeisenbank Aletsch","Arnav Morel","",47.6953048706,8.6315612793
"Salzmann Kurt, Autowaschstrasse Riedholz","Vihaan Jackson","",47.423160553,8.6181192398
"Bignasca A. & G. Lavorazione, Commercio, Import. Ed Esport. Di Granito E Marmo, Ecc.","Aanya Kishore","",46.302986145,9.1141119003
"Agria Landmaschinen Ag","Charlie Davies","Via San Gottardo 98",46.2056846619,9.0372200012
"Prika Holding Ag Beteiligungen Usw","Barbara Vijaya","Route De Tercier 8",46.4641571045,6.8950810432
"Pneuhaus Bucher Gmbh","Karin Sharma","Steinerstrasse 59",47.6118507385,8.7306098938
"Alpin Professional Investment Sa","Uwe Simon","Via Cantonale 2 6900 Lugano Casella Postale 2823",46.0029754639,8.9513053894
"Stolz Söhne","Veer Lal","Melonenstrasse 5",47.3907623291,9.2749500275
"Benetton Damen Herren Kinder","Nadine Jones","Etzelstrasse 15",47.2526512146,8.5991697311
"Interviansal Sa","Olivia Hoffmann","Obere Heslibachstrasse 86",47.3103713989,8.5926065445
"Gewerkschaft Druck & Papier Sekt.sg/appenz.,u.cavelti Ag","Yvonne Williams","Route D' Evian 21",46.3175506592,6.9701099396
"Pommes Xl Gmbh","Veer Wood","Viale Stazione 9",46.1926116943,9.0243453979
"Internationales Blindenzentrum Gebhardshöhe Landschlacht","Harry Mason","",46.3500404358,7.1587119102
"Bt Holding Ag","Lola Durand","",46.6341934204,6.8359251022
"Ingenieurbüro Schafroth Prod. Bes. Im Freizeit- U Konsumgüterbereich; Engineering, Entw. Usw","Aahana Lee","Bahnhofstr. 18",47.3687057495,8.5398435593
"Sp Ortspartei Fislisbach","Maëlys Nara","",47.1750793457,8.7132177353
"Pensionierung.com Ag Produkte Und Dienstleistungen Im Ber. Der Pensionierung","Michael Green","",46.1487998962,7.0422902107
"Expert Capital Management Sa Service De Conseils Etc., Dans Le Dom. Financier, Placements Et Assurances","Ulrike Patel","Bahnhofstrasse 7",47.0044288635,9.5016126633
"Am Weishaupt Polissage","Sabrina Kumar","",46.024143219,7.7484002113
"Personalfürsorgestiftung Der Foseco Holding Ag","Zoé Kennedy","Wiesenstrasse 23",47.2127304077,7.7854099274
"Grafi-scan Michel Jaquillard","Mathis Clarke","Hauptstrasse 192",47.4769973755,7.5961751938
"Hipo Keller","Leon Moreau","Pfäffikerstrasse 1",47.3458709717,8.8068780899
"Schibli Fiduciaire Sa","Ulrich Green","Madrusen 476",47.2030296326,9.4476900101
"Bar Enigma","Myra Nath","Nordstrasse 114",47.3897209167,8.5346260071
"Ramatech Ag","Sophia James","Theaterplatz 3",46.9477119446,7.4476509094
"Hôtel Mayens","Sai Raje","Luzernstrasse 16",47.0983963013,8.205198288
"Consolidated Equities Sa","Eric, Erik LLoyd","Unterer Bollhölzliweg 4",47.0440750122,8.303943634
"Body & Mind Fitness Sa","Andrea Malik","Rue De L'hôtel-de-ville 10",46.8948554993,8.2471389771
"Denman Enterprise 1 A Security Service","Inès Clarke","Postgasse 30 8750 Glarus. Postfach 714",46.9211235046,7.3735599518
"Paul Blaser Mühle","Riya Nath","Rue Des Virettes 4",46.9869918823,6.8756771088
"Rodoss Sa","Chloé Mason","Jaquet-droz Rue 1 2000 Neuchâtel Case Postale 27",46.997795105,6.9475121498
"Mario Tropea Schreiner Werkstatt","Marina Sharma","Riederenstrasse 9",47.4606742859,9.4330892563
"Banca Raiffeisen Camorino-san Antonio","Dirk Suri","Galenweg 6a 2540 Grenchen. Postfach",47.1853408813,7.3830890656
"Di Paola Francesco","Kristian Thompson","Seestrasse 291",47.257610321,8.6061601639
"Schümel Naturschutzstiftung","Sabrina Shaw","Route De St-julien 285",46.8788414001,8.6314220428
"Old Pub Irish Tavern","Christian Chander","Ferdinand Hodler-strasse 5",47.0642547607,6.7651090622
"Rollag Brändle U. & Co","Vivaan Kishore","Blumenfeldstrasse 85 8046 Zürich. Postfach 356",47.424446106,8.5042619705
"Roy Robson Ag","Marcel White","Rue Centrale 5b 1804 Corsier-sur-vevey Case Postale 32",46.4705314636,6.8421959877
"Francisco Espineira","Thomas Girard","Mahrenstrasse 114",47.3821372986,7.9245772362
"Fondation De Prévoyance En Faveur Du Personnel De La Commission Electrotechnique Internationale","Darsh Vijaya","Marktgasse 19",47.0979766846,6.818655014
